rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
13419	C1orf104	chromosome 1 open reading frame 104	241644	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13420	C1orf105	chromosome 1 open reading frame 105	211686	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13421	C1orf107	chromosome 1 open reading frame 107	858118	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13422	C1orf109	chromosome 1 open reading frame 109	221767	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13423	C1orf113	chromosome 1 open reading frame 113	817351	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13424	C1orf114	chromosome 1 open reading frame 114	566124	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13425	C1orf115	chromosome 1 open reading frame 115	119394	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13426	C1orf122	chromosome 1 open reading frame 122	36557	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13427	C1orf123	chromosome 1 open reading frame 123	180376	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13428	C1orf124	chromosome 1 open reading frame 124	565206	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13429	C1orf125	chromosome 1 open reading frame 125	1160538	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13430	C1orf128	chromosome 1 open reading frame 128	199174	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13431	C1orf129	chromosome 1 open reading frame 129	1035013	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13432	C1orf130	chromosome 1 open reading frame 130	118413	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13433	C1orf135	chromosome 1 open reading frame 135	401465	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13434	C1orf14	chromosome 1 open reading frame 14	699558	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13435	C1orf141	chromosome 1 open reading frame 141	450497	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13436	C1orf144	chromosome 1 open reading frame 144	169563	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13437	C1orf150	chromosome 1 open reading frame 150	158068	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13438	C1orf151	chromosome 1 open reading frame 151	91690	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13439	C1orf156	chromosome 1 open reading frame 156	417674	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13440	C1orf159	chromosome 1 open reading frame 159	206828	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13441	C1orf161	chromosome 1 open reading frame 161	409223	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13442	C1orf162	chromosome 1 open reading frame 162	181488	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13443	C1orf163	chromosome 1 open reading frame 163	241935	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13444	C1orf172	chromosome 1 open reading frame 172	434112	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13445	C1orf173	chromosome 1 open reading frame 173	1714700	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13446	C1orf175	chromosome 1 open reading frame 175	1487201	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13447	C1orf182	chromosome 1 open reading frame 182	143018	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13448	C1orf183	chromosome 1 open reading frame 183	321763	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13449	C1orf185	chromosome 1 open reading frame 185	229456	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13450	C1orf186	chromosome 1 open reading frame 186	200502	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13451	C1orf187	chromosome 1 open reading frame 187	342809	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13452	C1orf189	chromosome 1 open reading frame 189	119765	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13453	C1orf190	chromosome 1 open reading frame 190	260756	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13454	C1orf192	chromosome 1 open reading frame 192	206056	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13455	C1orf194	chromosome 1 open reading frame 194	183442	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13456	C1orf201	chromosome 1 open reading frame 201	328134	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13457	C1orf204	chromosome 1 open reading frame 204	201011	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13458	C1orf21	chromosome 1 open reading frame 21	143275	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13459	C1orf210	chromosome 1 open reading frame 210	129934	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13460	C1orf212	chromosome 1 open reading frame 212	104913	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13461	C1orf213	chromosome 1 open reading frame 213	172026	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13462	C1orf216	chromosome 1 open reading frame 216	255910	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13463	C1orf223	[Not Available]	229073	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13464	C1orf227	chromosome 1 open reading frame 227	113131	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13465	C1orf229	chromosome 1 open reading frame 229	120096	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13466	C1orf230	[Not Available]	92093	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13467	C1orf25	chromosome 1 open reading frame 25	832376	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13468	C1orf26	chromosome 1 open reading frame 26	1029328	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13469	C1orf31	chromosome 1 open reading frame 31	144189	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13470	C1orf38	chromosome 1 open reading frame 38	697087	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13471	C1orf49	chromosome 1 open reading frame 49	302716	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13472	C1orf50	chromosome 1 open reading frame 50	220852	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13473	C1orf51	chromosome 1 open reading frame 51	436130	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13474	C1orf52	chromosome 1 open reading frame 52	195326	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13475	C1orf54	chromosome 1 open reading frame 54	154377	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13476	C1orf55	chromosome 1 open reading frame 55	506013	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13477	C1orf57	chromosome 1 open reading frame 57	219656	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13478	C1orf58	chromosome 1 open reading frame 58	476593	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13479	C1orf59	chromosome 1 open reading frame 59	449224	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13480	C1orf63	chromosome 1 open reading frame 63	315027	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13481	C1orf65	chromosome 1 open reading frame 65	637405	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13482	C1orf66	chromosome 1 open reading frame 66	529569	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13483	C1orf69	chromosome 1 open reading frame 69	304716	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13484	C1orf70	chromosome 1 open reading frame 70	173483	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13485	C1orf77	chromosome 1 open reading frame 77	283824	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13486	C1orf83	chromosome 1 open reading frame 83	238363	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13487	C1orf84	chromosome 1 open reading frame 84	181475	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13488	C1orf85	chromosome 1 open reading frame 85	462096	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13489	C1orf86	chromosome 1 open reading frame 86	181384	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13490	C1orf88	chromosome 1 open reading frame 88	222808	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13491	C1orf89	chromosome 1 open reading frame 89	281679	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13492	C1orf9	chromosome 1 open reading frame 9	1422718	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13493	C1orf91	chromosome 1 open reading frame 91	161944	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13494	C1orf92	chromosome 1 open reading frame 92	631941	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13495	C1orf93	chromosome 1 open reading frame 93	193945	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13496	C1orf95	chromosome 1 open reading frame 95	141777	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13497	C1orf96	chromosome 1 open reading frame 96	213831	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13498	C20orf103	chromosome 20 open reading frame 103	321880	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13499	C20orf106	chromosome 20 open reading frame 106	194882	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13500	C20orf107	chromosome 20 open reading frame 107	194901	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13501	C20orf108	chromosome 20 open reading frame 108	149171	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13502	C20orf11	chromosome 20 open reading frame 11	261346	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13503	C20orf111	chromosome 20 open reading frame 111	330097	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13504	C20orf112	chromosome 20 open reading frame 112	469448	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13505	C20orf114	chromosome 20 open reading frame 114	554088	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13506	C20orf117	chromosome 20 open reading frame 117	1565424	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13507	C20orf118	chromosome 20 open reading frame 118	246237	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13508	C20orf12	chromosome 20 open reading frame 12	865381	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13509	C20orf123	chromosome 20 open reading frame 123	598538	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13510	C20orf132	chromosome 20 open reading frame 132	1155407	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13511	C20orf134	chromosome 20 open reading frame 134	232894	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13512	C20orf135	chromosome 20 open reading frame 135	334018	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13513	C20orf144	chromosome 20 open reading frame 144	114824	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13514	C20orf151	chromosome 20 open reading frame 151	678685	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13515	C20orf152	chromosome 20 open reading frame 152	655239	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13516	C20orf160	chromosome 20 open reading frame 160	327775	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13517	C20orf165	chromosome 20 open reading frame 165	224113	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13518	C20orf166	chromosome 20 open reading frame 166	126683	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13519	C20orf173	chromosome 20 open reading frame 173	219984	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13520	C20orf177	chromosome 20 open reading frame 177	429803	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13521	C20orf185	chromosome 20 open reading frame 185	547873	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13522	C20orf186	chromosome 20 open reading frame 186	683824	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13523	C20orf195	chromosome 20 open reading frame 195	286508	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13524	C20orf197	chromosome 20 open reading frame 197	143933	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13525	C20orf20	chromosome 20 open reading frame 20	206253	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13526	C20orf201	chromosome 20 open reading frame 201	80310	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13527	C20orf203	chromosome 20 open reading frame 203	184091	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13528	C20orf26	chromosome 20 open reading frame 26	1426792	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13529	C20orf29	chromosome 20 open reading frame 29	200187	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13530	C20orf3	chromosome 20 open reading frame 3	470136	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13531	C20orf30	chromosome 20 open reading frame 30	163181	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13532	C20orf4	chromosome 20 open reading frame 4	433320	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13533	C20orf43	chromosome 20 open reading frame 43	354257	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13534	C20orf46	chromosome 20 open reading frame 46	264399	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13535	C20orf54	chromosome 20 open reading frame 54	520503	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13536	C20orf7	chromosome 20 open reading frame 7	392230	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13537	C20orf70	chromosome 20 open reading frame 70	288872	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13538	C20orf71	chromosome 20 open reading frame 71	293974	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13539	C20orf72	chromosome 20 open reading frame 72	388364	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13540	C20orf79	chromosome 20 open reading frame 79	176309	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13541	C20orf85	chromosome 20 open reading frame 85	156215	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13542	C20orf94	chromosome 20 open reading frame 94	455550	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13543	C21orf2	chromosome 21 open reading frame 2	273437	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13544	C21orf29	chromosome 21 open reading frame 29	744249	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13545	C21orf45	chromosome 21 open reading frame 45	234443	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13546	C21orf56	chromosome 21 open reading frame 56	309061	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13547	C21orf57	chromosome 21 open reading frame 57	196183	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13548	C21orf63	chromosome 21 open reading frame 63	436825	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13549	C21orf7	chromosome 21 open reading frame 7	215274	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13550	C21orf70	chromosome 21 open reading frame 70	229246	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13551	C22orf13	chromosome 22 open reading frame 13	268110	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13552	C22orf23	chromosome 22 open reading frame 23	252155	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13553	C22orf24	chromosome 22 open reading frame 24	181297	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13554	C22orf25	chromosome 22 open reading frame 25	319162	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13555	C22orf26	chromosome 22 open reading frame 26	68741	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13556	C22orf28	chromosome 22 open reading frame 28	574137	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13557	C22orf30	chromosome 22 open reading frame 30	2394684	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13558	C22orf31	chromosome 22 open reading frame 31	327933	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13559	C22orf32	chromosome 22 open reading frame 32	113585	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13560	C22orf33	chromosome 22 open reading frame 33	319464	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13561	C22orf36	chromosome 22 open reading frame 36	271995	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13562	C22orf40	[Not Available]	139849	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13563	C22orf41	[Not Available]	96791	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13564	C22orf42	chromosome 22 open reading frame 42	289610	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13565	C22orf43	chromosome 22 open reading frame 43	273516	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13566	C22orf9	chromosome 22 open reading frame 9	460726	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13567	C2CD4D	C2 calcium-dependent domain containing 4D	192024	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13568	C2orf15	chromosome 2 open reading frame 15	143065	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13569	C2orf18	chromosome 2 open reading frame 18	419551	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13570	C2orf24	chromosome 2 open reading frame 24	450564	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13571	C2orf27A	chromosome 2 open reading frame 27A	139495	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13572	C2orf27B	chromosome 2 open reading frame 27B	146010	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13573	C2orf28	chromosome 2 open reading frame 28	317612	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13574	C2orf29	chromosome 2 open reading frame 29	504448	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13575	C2orf3	chromosome 2 open reading frame 3	847075	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13576	C2orf34	chromosome 2 open reading frame 34	352330	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13577	C2orf39	chromosome 2 open reading frame 39	840123	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13578	C2orf40	chromosome 2 open reading frame 40	157595	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13579	C2orf47	chromosome 2 open reading frame 47	328903	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13580	C2orf49	chromosome 2 open reading frame 49	262745	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13581	C2orf50	chromosome 2 open reading frame 50	175218	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13582	C2orf51	chromosome 2 open reading frame 51	205551	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13583	C2orf53	chromosome 2 open reading frame 53	458435	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13584	C2orf55	chromosome 2 open reading frame 55	719664	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13585	C2orf56	chromosome 2 open reading frame 56	504478	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13586	C2orf60	chromosome 2 open reading frame 60	363068	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13587	C2orf61	chromosome 2 open reading frame 61	293560	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13588	C2orf62	chromosome 2 open reading frame 62	430458	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13589	C2orf63	chromosome 2 open reading frame 63	668053	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13590	C2orf64	chromosome 2 open reading frame 64	82428	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13591	C2orf65	chromosome 2 open reading frame 65	606157	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13592	C2orf66	chromosome 2 open reading frame 66	134191	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13593	C2orf67	chromosome 2 open reading frame 67	1120798	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13594	C2orf69	chromosome 2 open reading frame 69	400155	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13595	C2orf7	chromosome 2 open reading frame 7	201345	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13596	C2orf72	chromosome 2 open reading frame 72	96991	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13597	C2orf74	chromosome 2 open reading frame 74	223565	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13598	C2orf76	chromosome 2 open reading frame 76	148380	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13599	C2orf77	[Not Available]	622918	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13600	C2orf79	[Not Available]	157067	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13601	C2orf82	chromosome 2 open reading frame 82	103307	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13602	C2orf83	chromosome 2 open reading frame 83	202838	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13603	C2orf84	[Not Available]	238178	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
13604	C2orf85	[Not Available]	581577	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
